,raceId,driverId,lap,position,positionOrder,raceKey,delta_mean,delta_median,Max,Min,Safety,Red_flag,Safety_min,Red_flag_min
10859,1061,846,22,6,4,202110,13.91399999999976,7.1030000000000655,75.31371504518847,-84.79783040935672,,,,
10860,1061,846,23,5,4,202110,14.80489473684247,6.918999999999869,75.31371504518847,-84.79783040935672,,,,
10861,1061,846,24,5,4,202110,17.190631578947432,7.311999999999898,75.31371504518847,-84.79783040935672,,,,
10862,1061,846,25,5,4,202110,20.073999999999614,7.976999999999862,75.31371504518847,-84.79783040935672,,,,
10863,1061,846,26,5,4,202110,22.001421052631486,8.771999999999935,75.31371504518847,-84.79783040935672,,,,
10864,1061,846,27,5,4,202110,22.985894736842056,9.648000000000138,75.31371504518847,-84.79783040935672,,,,
10865,1061,846,28,4,4,202110,25.621263157894646,10.82799999999952,75.31371504518847,-84.79783040935672,,,,
10866,1061,846,29,3,4,202110,29.339631578947774,12.296000000000276,75.31371504518847,-84.79783040935672,,,,
10867,1061,846,30,3,4,202110,31.602315789473323,13.724999999999454,75.31371504518847,-84.79783040935672,,,,
10868,1061,846,31,4,4,202110,32.40684210526342,13.622000000000298,75.31371504518847,-84.79783040935672,,,,
10869,1061,846,32,4,4,202110,32.38505263157913,13.622000000000298,75.31371504518847,-84.79783040935672,,,,
10870,1061,846,33,4,4,202110,32.988263157894835,14.38799999999992,75.31371504518847,-84.79783040935672,,,,
10871,1061,846,34,4,4,202110,33.81173684210535,15.448999999999614,75.31371504518847,-84.79783040935672,,,,
10872,1061,846,35,4,4,202110,34.68042105263157,16.654999999999745,75.31371504518847,-84.79783040935672,,,,
10873,1061,846,36,4,4,202110,35.631789473683966,17.88000000000011,75.31371504518847,-84.79783040935672,,,,
10874,1061,846,37,4,4,202110,36.69526315789517,19.287000000000262,75.31371504518847,-84.79783040935672,,,,
10875,1061,846,38,4,4,202110,37.80473684210483,20.45799999999963,75.31371504518847,-84.79783040935672,,,,
10876,1061,846,39,4,4,202110,39.50747368421071,21.532000000000153,75.31371504518847,-84.79783040935672,,,,
10877,1061,846,40,4,4,202110,40.92194736842157,22.72900000000027,75.31371504518847,-84.79783040935672,,,,
10878,1061,846,41,4,4,202110,41.635669590643374,23.56750000000011,75.31371504518847,-84.79783040935672,,,,
10879,1061,846,42,4,4,202110,42.507225146198834,24.725499999999556,75.31371504518847,-84.79783040935672,,,,
10880,1061,846,43,4,4,202110,43.056891812865615,25.399500000000444,75.31371504518847,-84.79783040935672,,,,
10881,1061,846,44,4,4,202110,43.76655847953225,26.359999999999673,75.31371504518847,-84.79783040935672,,,,
10882,1061,846,45,4,4,202110,44.200836257309675,26.93199999999979,75.31371504518847,-84.79783040935672,,,,
10883,1061,846,46,4,4,202110,45.11478070175417,27.592499999999745,75.31371504518847,-84.79783040935672,,,,
10884,1061,846,47,4,4,202110,46.61666959064314,28.019000000000233,75.31371504518847,-84.79783040935672,,,,
10885,1061,846,48,4,4,202110,46.85178070175425,28.10649999999987,75.31371504518847,-84.79783040935672,,,,
10886,1061,846,49,4,4,202110,47.54211403508725,27.490999999999076,75.31371504518847,-84.79783040935672,,,,
10887,1061,846,50,4,4,202110,46.92444736842117,27.03099999999995,75.31371504518847,-84.79783040935672,,,,
10888,1061,846,51,4,4,202110,46.982169590643025,27.288499999999658,75.31371504518847,-84.79783040935672,,,,
10889,1061,846,52,4,4,202110,46.74071504518906,27.288499999999658,75.31371504518847,-84.79783040935672,,,,
10890,1061,817,1,5,5,202110,7.267157894736869,7.3300000000000125,75.31371504518847,-84.79783040935672,,,,
10891,1061,817,2,5,5,202110,12.729421052631665,12.321000000000026,75.31371504518847,-84.79783040935672,,75.31371504518847,,-84.79783040935672
10892,1061,817,3,5,5,202110,18.36863157894777,17.536999999999807,75.31371504518847,-84.79783040935672,,,,
10893,1061,817,4,5,5,202110,3.071473684211014,3.2020000000002256,75.31371504518847,-84.79783040935672,,,,
10894,1061,817,5,5,5,202110,4.547210526316121,4.686000000000149,75.31371504518847,-84.79783040935672,,,,
10895,1061,817,6,5,5,202110,5.312684210527095,5.32700000000068,75.31371504518847,-84.79783040935672,,,,
10896,1061,817,7,5,5,202110,6.438684210526844,6.500000000000455,75.31371504518847,-84.79783040935672,,,,
10897,1061,817,8,5,5,202110,7.4085263157899135,7.596000000000458,75.31371504518847,-84.79783040935672,,,,
10898,1061,817,9,5,5,202110,8.302684210526877,8.587000000000444,75.31371504518847,-84.79783040935672,,,,
10899,1061,817,10,5,5,202110,9.09515789473744,9.497000000000298,75.31371504518847,-84.79783040935672,,,,
10900,1061,817,11,5,5,202110,9.639684210526866,10.192000000000462,75.31371504518847,-84.79783040935672,,,,
10901,1061,817,12,5,5,202110,10.33589473684242,10.968000000000302,75.31371504518847,-84.79783040935672,,,,
10902,1061,817,13,5,5,202110,10.913105263158286,11.75500000000011,75.31371504518847,-84.79783040935672,,,,
10903,1061,817,14,5,5,202110,11.296315789474193,12.24100000000044,75.31371504518847,-84.79783040935672,,,,
10904,1061,817,15,5,5,202110,11.60552631579003,12.71100000000024,75.31371504518847,-84.79783040935672,,,,
10905,1061,817,16,5,5,202110,12.107789473684534,13.396000000000186,75.31371504518847,-84.79783040935672,,,,
10906,1061,817,17,5,5,202110,12.301578947368853,13.844000000000506,75.31371504518847,-84.79783040935672,,,,
10907,1061,817,18,5,5,202110,12.36594736842153,13.844000000000506,75.31371504518847,-84.79783040935672,,,,
10908,1061,817,19,5,5,202110,16.515263157895333,13.92700000000059,75.31371504518847,-84.79783040935672,,,,
10909,1061,817,20,5,5,202110,19.66673684210582,14.88799999999992,75.31371504518847,-84.79783040935672,,,,
10910,1061,817,21,9,5,202110,0.6577894736847156,-5.153000000000247,75.31371504518847,-84.79783040935672,,,,
10911,1061,817,22,9,5,202110,2.431999999999789,-4.378999999999905,75.31371504518847,-84.79783040935672,,,,
10912,1061,817,23,9,5,202110,4.61989473684298,-3.2659999999996217,75.31371504518847,-84.79783040935672,,,,
